	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
Time	3.0793439817155	0.0498851371582019	0.115052411946704	0.0376905136290864	0.0641902192917643	0.149056967883122	0.0124031907713196	0.130715800060816	0.15453549550657	0.0640718908765114	0.0543086917101547	0.0174864455194106	0.140279760422318	0.252276825876041	0.127604123766701	0.0446219737513092	0.178164919508434	0.0195147639848008	0.108421583916771	0.265804480160133	0.231809519167549	0.312420936222205	0.333935183404262	0.222132061334539	0.205772469267985	0.0914616607147849	0.0013749051582792	0.186393501687055	-0.0168877807639483	0.160430824805066	0.028624454096688	0.239151132219713	0.168827930503658	-0.0407504098588225	0.16412863372352	0.100736951796079	0.26249465536596	-0.10460038472165	0.0351041057972736	0.125284269782611	0.0976414294513299	0.0627314630079203	0.178912331664501	0.068331811294251	0.00861279312068675	0.214183324563262	0.0717462472185613	0.190984631161938	0.194096746307292	0.188232931665205	0.266929031568644	0.132586927884206	0.0610081726064005	0.14802815596119	0.0883226684375797	0.172850480828298	0.0840056453072338	0.19493763620446	0.22000077317778	0.0427149469164299	0.158436794895152	0.196329703123393	0.193956955414379	0.120468735699252	0.024089553659544	0.135209921901858	0.10525569146826	-0.0234252647516797	0.0804147018209704	0.0214564404057125	0.090289381625432	0.113162532576706	0.122456306629043	0.372099831428089	0.123360026423883	0.0282043404374326	0.140137417679614	-0.0142994123097466	0.0660379985714812	0.248149210486544	0.194678326397538	0.133649578423559	0.00468953168666619	0.172971050995702	0.0765967892609964	0.3175572107978	0.366903420762466	0.246014627912109	0.146767945075119	-0.0300376491759335	0.0813219563007364	0.146196963700245	0.166578048758319	0.0978450881784934	0.0623740892071396	0.110390965170731	-0.00275657698346965	-0.041866496635838	0.153689153938508	0.101621106428009	-0.0632816034369945
G1	0.0445160844296737	4.08860702026425	-0.00579385013289446	0.107350774925015	0.258773257646221	0.208949277362732	0.134567429954599	-0.00712616611195305	0.2034016937873	0.121782960216083	0.103348293166073	0.132693583014274	0.136484248312014	0.124287460870613	0.281622606440981	0.157489770098467	0.0342883111180727	0.0143790380129554	0.198784740433131	0.167913018504141	0.179452778737132	0.188041726975239	0.239644103213913	0.23412298079313	0.166729319999116	-0.00719925258655429	0.166724484361203	-0.0245423164101837	-0.0150849195312794	0.214829145593243	0.0871806985010499	0.217275145610763	0.0437194545606676	0.0623091518412426	0.0606205172816328	0.063091929619616	0.164534551176915	0.0557462690800303	0.27389734955519	0.108606669864875	0.227753002357361	0.244031352959833	0.15690213273261	0.218699385329531	0.132449774396376	0.149334407255591	0.186521771706084	0.171186649235027	0.130850378270149	0.25195131821345	0.0430579945623304	0.174754275398747	0.122628888801171	0.135009557981025	0.119269852593694	0.0539296715548412	0.0441041598837071	0.201842218426908	0.126372663482799	-0.00378871413070314	0.0923466953074623	0.221968734734427	0.237324817973387	0.0513472740982692	-0.116613410141487	0.0561744733668519	0.124286127135306	0.0322573149019991	0.107959397282691	0.156553512608317	0.263277609957047	-0.0474038955073448	0.230353267528857	0.184212428313401	0.0138027089530128	0.133959009182903	0.440818800955119	0.0977028561644175	0.0178620167684578	0.0960608452198315	0.050340521188196	0.141207240647145	0.230863669540197	0.189501180314193	0.148436672276078	0.129031137137233	0.17215598055608	0.132352887425725	0.0568374568516719	-0.0685023405653276	0.0710697443554968	0.128565600236903	0.141850074277271	0.173680788786001	0.0315910428963901	0.120013547083102	0.0503715698330511	-0.0420526804449519	-0.00640314630575034	0.262337028858378	-0.0150065656342502
G2	0.125536449976713	-0.00579385013289269	4.08860702026425	-0.012303351849039	-0.0193714950930746	0.164090438191081	0.0821008310356026	0.0741668751952149	0.119866602468616	0.0304413966520425	0.287028296045862	0.149457653932925	0.0238190571257091	0.205576759924581	0.233035033864595	0.129881888064849	0.151734950656265	-0.0434536966089656	0.0451062288447091	0.211073573041436	0.158686935977469	0.201388547108193	0.181637482537802	0.154820900772016	0.118020302074864	0.0987844652007448	0.0979184221198111	0.108097032728102	-0.0711524066357834	0.126023980856544	0.197699177472253	0.137935946306283	0.161640221285781	-0.0839430623083102	0.18858954473475	0.0359359456066652	0.320790227797679	0.010271812993528	0.0750467645694615	0.0494880776903184	0.039327115061722	0.0245572756489976	0.115665654578481	0.0478575417706733	0.195560931177113	0.182212114328634	0.0804202439771151	0.129806582513802	0.148666840927542	0.091709048856135	0.0705899897560869	0.352808771741244	0.0471697520276892	0.158994149995495	0.0909997808191916	0.101786622061971	0.0818860354571145	0.0541679807524016	0.137611450226307	0.131485015810547	0.318765318823501	0.152117421290178	0.0629061164499305	0.146705373659665	0.0835382492240173	0.226463433876426	0.243886177292763	0.157740085371432	0.307230178882802	0.0808174398690582	0.132783444133603	0.204860795907655	0.259632317735372	0.197853403534458	0.108326409237756	0.0840882082214902	0.227666532564712	-0.0182146082275265	0.142461703949564	0.22759877573462	0.0410374656374817	0.159066079370354	0.206554245463638	0.121076700660541	0.183047299550664	0.0744901312753941	0.0648278248793099	0.138287244752459	0.0148852759527012	0.0152468297469852	0.194958172893738	0.0100898665269176	0.018724995468415	0.107703824911485	0.132512841638103	0.017133255897706	0.0215629034739209	0.0260823211868217	0.103616011465428	0.12950097371307	0.0489163887646544
G3	0.0309287510227438	0.107350774925017	-0.012303351849039	4.08860702026425	0.0846113329499785	0.0780471318937019	0.0630035238791189	0.0544077123184632	0.0926886240082982	0.0806680807752489	0.0442400110781431	-0.0384659724459544	-0.0028346685927696	0.0853726779176975	0.133108759922057	0.24401116848472	-0.0413696093680231	-0.0241411124958031	0.113358030375166	0.0936428339785804	-0.0443331911938429	0.155846572041611	0.0767281450023125	0.0945202384181592	0.0793811359844074	0.0224862530537795	0.0212672433673315	0.0114313922672507	0.0881877694748736	0.0686048813865483	0.112001069942563	0.0237524049578424	-0.0128752924437601	-0.123379991908045	-0.0035921449665528	-0.000732069512464406	0.0995562633466642	0.0617189908466473	0.0329534663457673	0.0214425436022685	0.0542072423330389	0.012688263318319	0.0214344153404147	0.100899025811197	0.120320415384629	0.012156283090027	0.117427949586388	0.0611594826341424	0.151246398044602	-0.00356793892110119	0.0213119314065509	0.0478968615025641	0.000503789923702591	0.0305950819586371	0.0243818668568734	-0.0610284394613867	0.0908845158009282	0.00750146897765713	0.0439563190826791	0.0150933507068176	0.0506025333506139	0.0054266643488976	0.07611676085474	0.0567021252885818	-0.0364655395446656	0.164943988314976	0.171401482921223	0.138446828839518	0.103990621828149	0.0392258778745678	0.154983579860325	0.0700866205365882	0.120354567139898	-0.049339738427685	-0.0855820290953977	-0.00914535833255048	0.148942131962873	0.162473120680212	-0.0366386338746478	-0.0433152174229399	-0.0187614967668086	-0.0749389609488311	-0.0307696167419618	0.1137224118172	0.0749531572287685	0.0322377285023183	0.130358852734546	0.0352182566207304	0.0992016655877448	0.0190175328358135	0.0492165242703368	0.172122372235124	-0.0358641873381726	0.0187590107988891	0.0476612393452172	0.0369004315717385	-0.00646505968843236	0.0218067321361683	-0.00964476024540151	0.121960259343984	-0.0532302928864388
G4	0.0432381305938083	0.258773257646223	-0.0193714950930755	0.0846113329499785	4.08860702026425	0.136639451712931	-0.0403318687080416	0.0578363124600783	-0.0784162265442063	0.0491582834119244	-0.0150887009608125	0.0677238717565816	0.0687754199569017	0.0269302050451046	0.0453487605599099	0.0580652514331232	0.118713647521505	-0.0094503313262484	0.153085935798259	0.0284822544977654	0.145129264414178	0.0440128082729325	0.17126935029105	0.0867940924820036	0.107318172887163	0.032201676506701	0.0466547943170017	0.0604495418205007	0.0610540796382244	0.143377260501571	-0.0311906089507934	0.122654678091436	0.108667412088531	-0.030519972398392	0.0234879371915175	-0.0525455328674518	0.0941931997405989	0.119024276481963	0.0818656716929036	0.163596154756649	0.0246600597100004	0.0228234447691973	0.078547516703896	0.00812041722395662	0.0454047870174943	0.016392749744659	0.0412364922368562	0.00828697115573007	-0.02794488810527	0.102032080264109	-0.0938692761462425	0.110564366593112	-0.0679587976414799	-0.00408978699969254	0.0842565859485278	0.0189423877782477	0.0135483814821891	0.00679223095295534	-0.00575555321744137	-0.0505281464810778	0.160492159246483	0.0312422955957192	0.0590475042969043	0.0362674818275996	0.0895730877853609	0.131211309326986	0.0900643597205377	0.102193703086636	0.0178836701994358	0.0895603556861406	0.0895161922065721	-0.0328471452849541	-0.00709577469427547	-0.0652159859657884	-0.0274952305670642	0.105690144635843	0.1509532994216	-0.0201063034791211	-0.0185597854641948	-0.0688876449211868	-0.0767978529453481	0.152369359961522	0.0542239006632519	0.17092126750287	0.0255907151956247	0.0317524056520542	0.0493587278449841	0.034306342684336	0.0726872379526471	0.0193483835051289	0.0880936708115687	0.216233151876075	0.157972570223873	0.031314861922568	-0.000851992274686353	0.0845590263354667	-0.024789779761198	0.0176354702378001	0.0328859953153433	0.099757517919838	-0.0448206544070615
G5	0.0982895342222454	0.208949277362735	0.164090438191084	0.0780471318937073	0.136639451712931	4.08860702026425	0.155667235803735	-0.00742906167688151	0.172528317711383	0.232521582505644	0.170467365916612	0.206187570921967	0.0837228500501608	0.146398623087348	0.0888998105584946	-0.0171916178996261	0.123746093494203	-0.0296656752398077	0.0939389093985756	0.0408082587028806	0.190332441599929	0.0690458259967359	0.0527016776312008	0.265041912099919	0.111061505175996	0.0268190914971553	0.0435015386795321	0.0176790930620276	0.0435226718071275	0.148224813726612	0.142269798094736	0.312082497886219	0.0809355932765898	0.0291344441035006	0.0720997371612579	0.119853403615414	0.108872128294867	0.252673736513728	0.0329383711870577	0.156307547241792	0.229173389063036	0.205207066754635	0.249445387541189	0.316348596475261	0.108321589587733	0.0783165056691653	0.262199324605651	-0.0396548458440407	0.146050522101899	0.102141507913416	0.0411784037995133	0.155237547128162	-0.0138337123299719	0.31521519371473	0.00679292091486694	0.196899611101659	0.0953912718238028	0.193980499678992	0.231008120813256	0.0891101818287448	0.488296175534266	0.222664291570727	0.170597497031251	0.183217106798568	0.0821168710031275	0.121626353371653	0.251098976165877	0.113531798375205	0.113142961978035	0.0672013474315962	0.32718917577142	0.0163872386048416	0.330208791935097	0.33866462508558	0.12667261715419	0.07578983019497	0.251813966193143	-0.0245622650548567	0.0486209181594282	0.128841334738333	0.141728831861927	0.211611253121391	0.115342196497171	0.233944887432649	0.326809768732918	0.193101326457298	0.202682429521531	0.0572567592111124	0.0776875196045088	0.121738627438815	-0.00342613701197703	0.222510573263474	0.14676882348323	0.0596175372999861	0.116774623430618	0.0492389611994017	-0.0461417431007529	-0.0247698115444202	0.255609446729297	0.264058366313265	-0.0402392842326282
G6	0.0138069319039449	0.134567429954596	0.0821008310356053	0.063003523879118	-0.0403318687080416	0.155667235803739	4.08860702026425	-0.0492014679919039	0.055598113244133	-0.0371968531744011	-0.0447720734514281	0.0457238259902137	-0.0505351986907234	0.00534940391249084	0.144383202667126	0.0171120370840008	0.0466723477214499	0.102617414192445	0.111503838004526	-0.0185503831079554	0.0306296355735869	0.0590579909874949	0.0395699711757151	0.0249999129750904	0.110257009436552	-0.0838136525946327	0.0325424763418516	-0.00585883764170436	-0.0309798688358693	-0.0414958474088971	-0.00821158768168573	0.0289283249121519	-0.0717885726357981	0.0475806644474996	0.0583690049654546	0.0461556618948142	-0.0419905946620096	0.0997113299834078	0.126918929962315	0.0378634555174422	0.0583966654393704	-0.049202391805685	-0.106202538587766	0.0519149443931708	0.116785506424208	-0.0246444655949363	0.0637106310254527	-0.00683063487888003	-0.0127690780624503	0.115215780548146	-0.073494966098405	0.15288877412389	0.189161926368688	0.0358905474435911	0.0897865489611762	0.0538272055699283	-0.0434646087417621	0.0841821881680316	0.00188596603435887	0.0350478230328051	-0.0119864233297964	-0.0236381867826241	0.0935582748383199	0.0973999020942182	0.0593471491494322	0.0486531612939398	0.211794927369345	0.0456487436179147	0.017826347314692	-0.0211325981683572	0.0277407095502866	0.108350426983193	0.0979248146519893	-0.0320060467886751	-0.099557288578711	-0.0530079606153446	0.0799278342914276	0.122271920769569	0.0499177299511446	0.0372940704489579	0.0676649988339477	-0.0614568120769459	0.00925235789375556	0.101397265171905	0.0404623716111425	0.00804742186225393	0.145403441626299	-0.0244815006538213	0.100926029673446	0.119744517423516	-0.0499759331424334	0.100351211236656	-0.00205331520310548	-0.006872364662315	0.0275749110066981	-0.0229777517284804	0.01303817126818	0.00422460710274564	0.0862837673095056	0.133757521282972	0.0851253711604212
G7	0.094015738182077	-0.00712616611194949	0.0741668751952194	0.0544077123184623	0.0578363124600836	-0.00742906167688773	-0.0492014679919075	4.08860702026425	0.123771730640135	0.112285030029045	0.021694962303342	0.014008447006943	0.0210686378443361	0.0770988898825653	0.0484676777304678	0.0352311761836877	0.00988097359654105	0.00532343835000759	0.00223035509383251	0.140671082562202	0.0164778644492616	0.00670655241531382	0.146716404512565	0.0601741661848534	0.0873159228155691	0.109834276215197	0.0159078386642033	0.157351623251923	-0.0468423223161727	-0.0185354041665926	0.0368246208859855	0.100010451677822	-0.0327882038619478	0.00774875468690084	0.160673212419389	-0.00424919914810218	0.0564861975797877	0.141638068257627	0.0957796244068803	0.0247789441392969	0.0803534108401189	0.0304243672357476	-0.0296728271135178	-0.0567846721459171	0.0125696868719132	0.0228253011209176	0.0114235641152103	-0.0154127214784525	-0.0575373007149009	0.013810093417046	0.0175857954885803	-0.0729219906180472	0.0225250843153058	0.0938886711857485	0.0917297542548541	-0.0690613749398787	0.0410974370167407	0.0807710342200991	0.033042292995451	-0.0162027847076391	0.0475419130356682	0.127274362172545	0.0949917843299808	-0.0608021302837987	0.0468500015556765	0.016249975915998	0.163776547981948	-0.00175230748562782	-0.0332996423895651	0.0281576168134325	0.00754538686047912	-0.0190062564356053	-0.0200715198536745	0.0147483898886911	0.013363555970149	0.00499420026973585	0.0301052125677854	-0.0210271007040825	0.0409251198375316	0.0123591779422396	0.0223181602705864	-0.0120754664933083	0.0548216704870379	-0.0171661521510558	-0.0383824766039051	0.11320826028774	0.0537976063447996	-0.0445688176849357	0.00822975512792645	-0.0494636105750077	-0.0204149438216961	-0.0782905346952871	-0.0077281260184483	0.0299377344872012	0.0642177452007555	0.00915097954290545	0.082072616996963	0.00487851006686224	-0.0244724906488818	0.087291792001392	0.0109809323471746
G8	0.15559149680502	0.203401693787296	0.119866602468616	0.0926886240083009	-0.0784162265442054	0.17252831771138	0.0555981132441357	0.123771730640133	4.08860702026425	0.205856389396216	0.127628998201964	0.104088250385947	0.210809141340928	0.451146327286861	0.142061898347393	0.227021778793706	0.154683953921428	0.164941076558665	0.175604263669731	0.406486620494028	0.166531567004078	0.151741584908947	0.597751602863302	0.447732052295679	0.1933396955725	0.078642895544732	0.122815480858375	0.177541351179165	-0.0065942563544521	0.209525677999713	0.0180961397590371	0.239479884657912	0.0788476138257757	0.0215133946790953	0.235259961576882	0.184608079795274	0.581994906491716	0.0895202265328265	0.231452718567185	0.0543317506265852	0.0245018898158795	0.156801763370167	0.122338766970462	0.23680915038816	0.2257815474705	0.183925459408229	0.17540964944458	0.138460603537586	0.24804068153311	0.18728387420971	0.160633176833091	0.335650264916771	0.103520049692718	0.102705805069896	0.145297997702279	0.08038937913825	0.26730815292214	0.0837425468228261	0.0434349002529091	0.118703185378872	0.300258917110163	0.209705058178155	0.184909530751712	0.33828829799402	0.174598229459363	0.129770259757144	0.180030419653988	0.0310539264618628	0.289201155931481	0.0916162224045989	0.20164145687361	0.0933188045709175	0.159459608151369	0.168864421789921	-0.0631775604893949	-0.0697305619984032	0.344545646385623	0.0784101986146757	0.0666500417213456	0.0802511232562892	0.43653463564096	0.136631693160719	0.0793863196509648	0.0905039802617136	0.10477757917809	0.344478548680506	0.410731702362721	0.494782232698326	0.142233444914321	0.0568362550299701	0.034409566908975	0.153758470688053	0.0985813401632543	0.143029855489215	0.138507717048022	0.0962531470180812	-0.015374782047247	0.0359741388695651	0.0821969717810775	0.101197427676198	-0.0512360601941388
G9	0.00720443015613803	0.121782960216088	0.0304413966520407	0.0806680807752471	0.0491582834119217	0.232521582505647	-0.0371968531744074	0.112285030029049	0.205856389396208	4.08860702026425	0.118284105301461	0.259238117689415	0.199811441028677	0.0468023550102039	0.0426372087279816	0.0527804703280079	0.248243911121909	-0.0137782246191298	0.0100124097757179	-0.0248740390934552	0.122631408514587	0.146211282283768	0.0826189361120182	0.368196789970214	0.0196553968788828	0.00769201101059558	-0.0423436704210536	0.130677167241312	-0.020427354470967	0.102475112986502	0.0394599046816007	0.0854928965568726	0.0880045769060649	-0.0117668659764734	0.0814323065060725	0.205587435780873	0.00410781215787903	-0.0302740774057506	0.158674819822607	0.0876852278363103	0.0282863839925103	0.181702689953807	0.166739604052975	0.176507670991978	-0.0086710282377771	0.153506233445326	0.0460228721405356	0.0624699166172897	0.22703012134107	0.125288653955349	0.161368648246074	0.122799125401862	-0.00102853553926696	0.0737916250872637	0.0192194052491699	0.0536937174599501	-0.0630951922215672	0.0679593463547592	0.226024111950538	0.0981069634446072	0.0672462743843489	0.0269993237808253	-0.0267124682596611	0.122443977006803	0.114627774972645	0.111258416436618	0.304255352634808	0.0490966796405399	0.0198949656534708	0.00206292320813528	0.167184733501761	-0.0287342720622492	0.0200195567253783	0.183216801008974	0.0647569009454996	-0.00464576532641914	0.16422011765786	0.0778861580430661	0.131110133473754	-0.0172509286271358	0.212761016292505	0.168085944128539	0.116257688615234	0.0685076431111957	0.0405672410025444	0.0247889178509597	0.0391569896998076	0.144146523798976	-0.074494371688961	0.0902874182679616	0.0555933011169127	0.120022891213909	0.0203021898327567	0.0625152584990998	0.0358018791140848	0.0173344099997363	-2.73025481423161e-06	0.0897460722507821	0.0659423896534497	0.021425793583508	0.00676470221139791
